name,email,cellphone,province
Nicolas Sogliano,nsoglianosuarez@gmail.com,99758625,Montevideo
Bruno Castel,brunocastel@gmail.com,99123456,Las Piedras
Ricky Fort,ricardito@pete.com,12345,Buenos Aires
Nicolas Sogliano,nsoglianosuarez@gmail.com,99758625,Montevideo
Nicolas Sogliano,nsoglianosuarez@gmail.com,99758625,Montevideo
Pepe Praderi,pepe@pepito.com,129031,Montevideo
Juancito Lol,asd@asd.com,12321,Paraguay
Alejandro Pepetazio,alejandro@ale.exe,1231321,Maldonado
Alejandro Pepetazio,alejandro@ale.exe,1231321,Maldonado
Alejandro Pepetazio,alejandro@ale.exe,1231321,Maldonado
Alejandro Pepetazio,alejandro@ale.exe,1231321,Maldonado
Alejandro Pepetazio,alejandro@ale.exe,1231321,Maldonado
dIANA Pepetazio,diana@ale.exe,1231321,Maldonado
Dianaaaa Pepetazio,dianaxd@ale.exe,1231321,Maldonado
Dianaaaa Pepetazio,dianaxdzxzxxczcxz@ale.exe,1231321,Maldonado
vaselinoziglia Pepetazio,xD@ale.exe,1231321,Paysandu
